district,year,month,avg_temp_max,avg_temp_min,sum_precipitation,avg_humidity,sum_sunshine_hours
Nakapiripirit,2023,2,32.81,18.73,0.1,30.14,315.07
Sembabule,2020,9,27.74,17.12,103.2,75.4,309.37
Sembabule,2024,10,28.95,17.15,106.3,73.29,304.12
Nakapiripirit,2023,9,29.32,17.61,65.7,60.4,331.75
Nakapiripirit,2022,6,25.85,16.07,87.8,67.6,325.9
Rukungiri,2022,5,25.09,14.26,95.6,77.03,323.73
Kiryandongo,2020,8,27.2,18.06,187.0,82.03,313.74
Namisindwa,2023,5,19.46,12.3,181.2,76.45,338.12
Namisindwa,2021,1,18.65,11.7,136.2,74.9,342.23
Nakapiripirit,2024,6,27.83,17.42,29.0,63.9,332.26
Kiryandongo,2017,9,26.96,18.45,193.9,82.4,302.15
Namisindwa,2019,7,17.99,11.74,148.7,75.06,322.47
Nakapiripirit,2020,7,23.5,16.48,223.7,81.61,292.69
Kiryandongo,2023,11,28.24,18.29,211.3,80.0,285.49
Nakapiripirit,2020,5,25.33,17.37,234.8,79.03,325.8
Bundibugyo,2024,7,28.26,19.33,101.0,73.65,297.64
Namisindwa,2021,6,17.67,11.8,226.7,79.43,321.01
Sembabule,2024,7,30.32,17.59,48.8,63.81,299.39
Namisindwa,2022,11,18.28,11.9,482.0,81.63,279.37
Namisindwa,2021,3,20.5,12.05,188.5,69.06,340.24
Nakapiripirit,2019,7,24.5,16.61,126.4,76.13,333.33
Nakapiripirit,2022,8,24.38,15.95,203.8,78.03,322.97
Lyantonde,2024,8,29.37,16.34,38.8,67.16,325.05
Sembabule,2020,10,27.23,17.09,120.8,77.29,301.01
Rukungiri,2020,3,25.43,15.37,110.7,81.42,297.42
Rukungiri,2020,9,24.55,14.26,207.1,82.37,289.72
Rukungiri,2022,8,24.14,13.28,184.3,78.35,283.32
Rukungiri,2022,6,24.79,13.18,28.4,69.5,321.44
Namisindwa,2024,1,18.79,12.12,248.5,78.58,333.78
Namisindwa,2022,7,17.75,11.45,237.2,76.55,305.52
Bundibugyo,2019,8,25.44,17.97,281.0,85.29,323.8
Kiryandongo,2023,4,28.52,18.6,120.5,77.8,278.76
Kiryandongo,2022,7,28.48,17.99,75.0,66.23,295.9
Kiryandongo,2017,5,27.75,19.02,111.8,77.61,341.44
Rukungiri,2024,11,23.58,14.98,264.0,84.03,282.07
Namisindwa,2023,7,18.47,11.65,184.4,74.74,331.94
Nakapiripirit,2017,8,25.81,17.1,119.9,69.45,342.9
Namisindwa,2020,12,18.55,11.52,147.2,75.55,343.48
Bundibugyo,2024,1,32.12,20.75,9.7,52.32,317.99
Lyantonde,2020,8,28.7,17.17,66.1,67.71,323.26
Kiryandongo,2024,6,29.5,18.72,66.0,68.2,311.12
Namisindwa,2020,5,18.49,12.82,333.3,83.1,319.67
Kiryandongo,2022,12,28.59,17.8,36.4,70.16,324.63
Bundibugyo,2019,3,32.19,20.15,36.3,60.94,341.31
Kiryandongo,2020,12,29.15,17.76,9.6,65.97,338.23
Nakapiripirit,2021,3,31.11,18.53,20.9,43.32,341.0
Nakapiripirit,2024,10,28.66,17.51,132.6,63.03,335.85
Kiryandongo,2017,2,32.52,19.86,32.8,53.75,314.51
Nakapiripirit,2017,4,30.33,18.93,34.1,52.3,339.18
Lyantonde,2024,3,30.39,17.92,39.3,67.94,326.0
Kiryandongo,2024,12,29.82,17.77,18.9,63.03,328.18
Kiryandongo,2023,2,33.6,19.84,4.9,41.57,290.33
Lyantonde,2024,4,27.9,17.77,104.8,77.73,267.41
Kiryandongo,2021,1,30.02,18.46,16.5,60.58,328.53
Namisindwa,2024,6,18.49,12.15,143.4,78.4,321.36
Nakapiripirit,2023,12,30.57,18.03,14.8,49.84,335.91
Kiryandongo,2017,1,33.97,19.54,3.9,34.32,347.32
Nakapiripirit,2021,8,26.37,16.92,51.9,65.45,343.15
